Source,Target,Weight,Type
Douglass_narrative,EK_adrift,19,undirected
Douglass_narrative,EK_ourVisit,43,undirected
Douglass_narrative,EK_suppressed,37,undirected
Douglass_narrative,freedman_body1,61,undirected
Douglass_narrative,freedman_body2,26,undirected
Douglass_narrative,freedman_intro1,5,undirected
Douglass_narrative,freedman_intro2,3,undirected
Douglass_narrative,TWH_denmark,50,undirected
Douglass_narrative,TWH_gabriel,12,undirected
Douglass_narrative,TWH_leaves,30,undirected
Douglass_narrative,TWH_natTurner,58,undirected
EK_adrift,Douglass_narrative,19,undirected
EK_adrift,EK_ourVisit,4,undirected
EK_adrift,freedman_body1,74,undirected
EK_adrift,freedman_body2,70,undirected
EK_ourVisit,Douglass_narrative,43,undirected
EK_ourVisit,EK_adrift,4,undirected
EK_ourVisit,EK_suppressed,102,undirected
EK_ourVisit,freedman_body1,8,undirected
EK_ourVisit,freedman_body2,3,undirected
EK_ourVisit,freedman_intro1,25,undirected
EK_ourVisit,TWH_leaves,105,undirected
EK_suppressed,Douglass_narrative,37,undirected
EK_suppressed,EK_ourVisit,102,undirected
EK_suppressed,freedman_body1,1,undirected
EK_suppressed,freedman_body2,4,undirected
EK_suppressed,TWH_denmark,5,undirected
EK_suppressed,TWH_gabriel,1,undirected
EK_suppressed,TWH_leaves,12,undirected
freedman_body1,Douglass_narrative,61,undirected
freedman_body1,EK_adrift,74,undirected
freedman_body1,EK_ourVisit,8,undirected
freedman_body1,EK_suppressed,1,undirected
freedman_body1,freedman_body2,120,undirected
freedman_body1,freedman_intro2,20,undirected
freedman_body1,TWH_denmark,1,undirected
freedman_body2,Douglass_narrative,26,undirected
freedman_body2,EK_adrift,70,undirected
freedman_body2,EK_ourVisit,3,undirected
freedman_body2,EK_suppressed,4,undirected
freedman_body2,freedman_body1,120,undirected
freedman_body2,freedman_intro2,13,undirected
freedman_body2,TWH_leaves,1,undirected
freedman_intro1,Douglass_narrative,5,undirected
freedman_intro1,EK_ourVisit,25,undirected
freedman_intro1,TWH_denmark,5,undirected
freedman_intro1,TWH_gabriel,11,undirected
freedman_intro1,TWH_leaves,38,undirected
freedman_intro1,TWH_natTurner,36,undirected
freedman_intro2,Douglass_narrative,3,undirected
freedman_intro2,freedman_body1,20,undirected
freedman_intro2,freedman_body2,13,undirected
freedman_intro2,TWH_denmark,27,undirected
freedman_intro2,TWH_natTurner,61,undirected
TWH_denmark,Douglass_narrative,50,undirected
TWH_denmark,EK_suppressed,5,undirected
TWH_denmark,freedman_body1,1,undirected
TWH_denmark,freedman_intro1,5,undirected
TWH_denmark,freedman_intro2,27,undirected
TWH_denmark,TWH_gabriel,103,undirected
TWH_denmark,TWH_leaves,7,undirected
TWH_denmark,TWH_natTurner,117,undirected
TWH_gabriel,Douglass_narrative,12,undirected
TWH_gabriel,EK_suppressed,1,undirected
TWH_gabriel,freedman_intro1,11,undirected
TWH_gabriel,TWH_denmark,103,undirected
TWH_gabriel,TWH_leaves,19,undirected
TWH_gabriel,TWH_natTurner,80,undirected
TWH_leaves,Douglass_narrative,30,undirected
TWH_leaves,EK_ourVisit,105,undirected
TWH_leaves,EK_suppressed,12,undirected
TWH_leaves,freedman_body2,1,undirected
TWH_leaves,freedman_intro1,38,undirected
TWH_leaves,TWH_denmark,7,undirected
TWH_leaves,TWH_gabriel,19,undirected
TWH_leaves,TWH_natTurner,23,undirected
TWH_natTurner,Douglass_narrative,58,undirected
TWH_natTurner,freedman_intro1,36,undirected
TWH_natTurner,freedman_intro2,61,undirected
TWH_natTurner,TWH_denmark,117,undirected
TWH_natTurner,TWH_gabriel,80,undirected
TWH_natTurner,TWH_leaves,23,undirected
